	NMI_0	NMI_0.25	NMI_0.5	NMI_0.75	NMI_1
affinity_propagation	0.838763917092024	0.6405968151271111	0.5225736174986237	0.44496436996665495	0.3892674423857808
ward_hierarchical	0.8747925692808349	0.4823725985215532	0.3361925235295228	0.25904449214728814	0.21096809975074585
cosine_single_linkage_hierarchical	0.8374092189177084	0.2720495158036669	0.1717637642762722	0.12712782028263728	0.10131636889827174
euclidean_single_linkage_hierarchical	0.8576496395392461	0.31440002422708047	0.20042789197711408	0.14855022398440715	0.11838030352768267
dbscan_.5	0.3487479542126367	0.09579432713578781	0.05546776829297221	0.03907842350801201	0.03017298231435723
dbscan_1	3.602390592539952e-15	1.440956237015981e-16	7.204781185079905e-17	4.803187456719936e-17	3.6023905925399524e-17
birch_mimic_.5	0.9089551143688508	0.6129826666976104	0.4707132963397037	0.38428105309163607	0.3253371614992877
birch_mimic_.75	0.911405902519531	0.6243624237797419	0.48001233637490054	0.3918450331065121	0.3316645317063017
birch_pubmed_.5	0.848379920780306	0.6357472614040081	0.5053136056395451	0.41968704955652125	0.3590354785736352
birch_pubmed_.75	0.848113520575463	0.6349596686227125	0.5043823538288776	0.41874246345856214	0.3581222470756085
fast_pairwise_matching_at_0.40	0.9377096886349919	0.8944596856867768	0.857239160686067	0.8258569386216555	0.798903039152904
fast_pairwise_matching_at_0.50	0.9227333105516944	0.90600936427476	0.8916411658677582	0.8798811380199905	0.8703680263551025
fast_pairwise_matching_at_0.60	0.9115462400286567	0.9139870272278173	0.9171903679882691	0.921131906196344	0.925888609862386
fast_pairwise_matching_at_0.70	0.9009992627683416	0.9081312740922893	0.9162444417597324	0.9251231296919361	0.9348481464404006
fast_pairwise_matching_at_0.75	0.8990665737872756	0.9113710103806737	0.9250749720819021	0.9397639851873937	0.9555325766226085
fast_pairwise_matching_at_0.80	0.899526065845843	0.9126931069716759	0.9273617595671386	0.9430887500036033	0.9599750910404904
fast_pairwise_matching_at_0.85	0.9024412278792628	0.9217623464986074	0.9429594242521727	0.9653535171333989	0.9890658152547378
fast_pairwise_matching_at_0.90	0.779779310020924	0.8228030831190146	0.8735903906238388	0.9319540713079173	1.0
fast_pairwise_matching_at_0.95	0.779779310020924	0.8228030831190146	0.8735903906238388	0.9319540713079173	1.0
pairwise_matching_at_0.40	0.9377096886349919	0.894459685686777	0.857239160686067	0.8258569386216555	0.798903039152904
pairwise_matching_at_0.50	0.9227333105516944	0.90600936427476	0.891641165867758	0.8798811380199905	0.8703680263551024
pairwise_matching_at_0.60	0.9115462400286567	0.9139870272278173	0.9171903679882691	0.921131906196344	0.925888609862386
pairwise_matching_at_0.70	0.9009992627683415	0.9081312740922893	0.9162444417597324	0.9251231296919361	0.9348481464404006
pairwise_matching_at_0.75	0.8990665737872756	0.9113710103806737	0.9250749720819021	0.9397639851873933	0.9555325766226084
pairwise_matching_at_0.80	0.8995260658458429	0.9126931069716759	0.9273617595671386	0.9430887500036033	0.9599750910404904
pairwise_matching_at_0.85	0.9024412278792626	0.9217623464986074	0.9429594242521727	0.9653535171333987	0.9890658152547378
pairwise_matching_at_0.90	0.8948593149914101	0.9181255730885262	0.9437770568708853	0.9710140934560314	1.0
pairwise_matching_at_0.95	0.8948593149914101	0.9181255730885262	0.9437770568708853	0.9710140934560314	1.0
