	NMI_0	NMI_0.25	NMI_0.5	NMI_0.75	NMI_1
affinity_propagation	0.9689820231799553	0.7395060718721507	0.6041184264273978	0.5126640490066238	0.44614132179079496
ward_hierarchical	0.9434789653596996	0.4529434004109647	0.2996851678034315	0.22411123739446487	0.17902327988393235
cosine_single_linkage_hierarchical	0.9712922137706175	0.2149677954992723	0.12173935538562072	0.08494000505254608	0.06522861201409505
euclidean_single_linkage_hierarchical	1.0000000000000002	0.22073746361359387	0.12769539871619687	0.09011929743539471	0.06969131985279249
dbscan		0.06335589819252777	0.03555835579647214	0.02471951227693219	0.018945609254927283
pairwise_matching_at_0.40	0.9815202277769682	0.9459419777387781	0.9152262130270744	0.8881389446286112	0.863882957669673
pairwise_matching_at_0.50	0.975999891387136	0.9571611447933982	0.9403936676360866	0.9253698229069002	0.9118432650285936
pairwise_matching_at_0.60	0.9663697425744754	0.9608922929525102	0.9558893024950372	0.9513478997765942	0.9472591849759077
pairwise_matching_at_0.70	0.9587207302607842	0.9602883837423729	0.9621690307486956	0.9643676114074333	0.9668909848456974
pairwise_matching_at_0.75	0.9588877255055654	0.9617490012642405	0.9649245915000557	0.9684205723235071	0.9722449527958823
pairwise_matching_at_0.80	0.9580749478267254	0.9632592439933738	0.9687732893848022	0.9746295475307483	0.9808422898597235
pairwise_matching_at_0.85	0.9586006906156059	0.9676044129022022	0.9768941468202895	0.9864877712877549	0.9964049033800937
pairwise_matching_at_0.90	0.9544087077288301	0.9651656162635073	0.9763301882880336	0.9879310930173487	1.0000000000000002
pairwise_matching_at_0.95	0.9544087077288301	0.9651656162635073	0.9763301882880336	0.9879310930173487	1.0000000000000002
